01/00-infamy.md#infamy	infâmia
12/01-resolving-combat.md#step-5-determine-result	passo-5-determinar-o-resultado
12/01-resolving-combat.md#step-6-roll-damage	passo-6-rolar-o-dano
12/01-resolving-combat.md#step-7-apply-armor	passo-7-aplicar-a-blindagem
12/01-resolving-combat.md#step-8-apply-damage	passo-8-aplicar-o-dano
12/01-resolving-combat.md#step-9-determine-wounds	passo-9-determinar-os-ferimentos
12/02-melee-combat.md#melee-combat	combate-de-luta
12/02-melee-combat.md#melee-ware	implantes-de-luta
12/02-melee-combat.md#melee-weapons	armas-de-luta
12/02-melee-combat.md#melee-rules	regras-de-luta
12/02-melee-combat.md#aggressive-attacks	ataques-agressivos
12/02-melee-combat.md#charging	investidas
12/02-melee-combat.md#grappling	agarramentos
12/02-melee-combat.md#multiple-targets	múltiplos-alvos
12/02-melee-combat.md#reach	extensão
12/02-melee-combat.md#touch-only-attacks	ataques-de-toque-simples
12/02-melee-combat.md#melee-modifiers	modificadores-de-luta
12/03-improvised-weapons.md#improvised-weapons	armas-improvisadas
12/04-ranged-combat.md#ranged-combat	combate-de-distância
12/04-ranged-combat.md#ranged-combat-rules	regras-de-combate-de-distância
12/04-ranged-combat.md#aiming	pontaria
12/04-ranged-combat.md#ammunition-and-reloading	munição-e-recarregamento
12/04-ranged-combat.md#firing-modes	modos-de-disparo
12/04-ranged-combat.md#firing-modes-1	modos-de-disparo-1
12/04-ranged-combat.md#indirect-fire	tiro-indireto
12/04-ranged-combat.md#range	alcance
12/04-ranged-combat.md#suppressive-fire	fogo-de-supressão
12/04-ranged-combat.md#ranged-modifiers	modificadores-de-distância
12/05-beam-weapons.md#beam-weapons	armas-de-feixe
12/05-beam-weapons.md#beam-weapon-ware	implantes-de-armas-de-feixe
12/05-beam-weapons.md#beam-weapons-1	armas-de-feixe-1
12/05-beam-weapons.md#beam-weapon-rules	regras-de-armas-de-feixes
12/05-beam-weapons.md#laser-blindness	cegueira-laser
12/05-beam-weapons.md#sweeping-fire	disparo-em-varredura
12/06-spray-weapons.md#spray-weapons	armas-de-spray
12/07-thrown-weapons.md#thrown-weapons	armas-de-arremesso
12/08-weapon-systems.md#weapon-systems	sistemas-de-armas
12/09-kinetic-weapons.md#kinetic-weapons	armas-cinéticas
12/09-kinetic-weapons.md#firearms	armas-de-fogo
12/09-kinetic-weapons.md#railguns	railguns
12/09-kinetic-weapons.md#kinetic-ammunition	munições-cinéticas
12/09-kinetic-weapons.md#smart-ammo	munições-inteligentes
12/09-kinetic-weapons.md#specialty-firearm-ammo	munições-especializadas-de-armas-de-fogo
12/10-seeker-weapons-and-grenades.md#seeker-weapons--grenades	armas-de-buscadores--granadas
12/10-seeker-weapons-and-grenades.md#seeker-missiles-and-grenades	mísseis-buscadores-e-granadas
12/10-seeker-weapons-and-grenades.md#seeker-and-grenade-rules	regras-de-buscadores-e-granadas
12/10-seeker-weapons-and-grenades.md#adjusting-blast-radius	ajustando-o-raio-de-explosão
12/10-seeker-weapons-and-grenades.md#jumping-on-grenades	saltando-em-granadas
12/10-seeker-weapons-and-grenades.md#sticky-coating	camada-aderente
12/10-seeker-weapons-and-grenades.md#throwing-back-a-grenade	arremessando-de-volta-uma-granada
12/10-seeker-weapons-and-grenades.md#trigger-conditions	condições-de-acionamento
12/11-armor.md#armor	blindagens
12/11-armor.md#energy-vs-kinetic	energética-vs-cinética
12/11-armor.md#armor-value	valor-de-blindagem
12/11-armor.md#layering-armor	camadas-de-blindagem
12/11-armor.md#armor-visibility	visibilidade-das-blindagens
12/11-armor.md#armor-ware	implantes-de-blindagem
12/11-armor.md#armor-gear	equipamentos-de-blindagem
12/12-weapon-gear-traits.md#weapongear-traits	traços-de-armasequipamentos
12/13-weapon-accessories.md#weapon-accessories	acessórios-de-armas
12/14-armor-mods.md#armor-mods	mods-de-blindagem
12/15-special-attacks.md#special-attacks	ataques-especiais
12/15-special-attacks.md#area-effect-attacks	ataques-de-área-de-efeito
12/15-special-attacks.md#centered-blast	explosão-centrada
12/15-special-attacks.md#cone	cone
12/15-special-attacks.md#uniform-blast	explosão-uniforme
12/15-special-attacks.md#scatter	desvio
12/15-special-attacks.md#attacks-against-the-helpless	ataques-contra-indefesos
12/15-special-attacks.md#blind-attacks	ataques-às-cegas
12/15-special-attacks.md#called-shots	ataques-precisos
12/15-special-attacks.md#bypass-armor	evitar-blindagem
12/15-special-attacks.md#disarm	desarmar
12/15-special-attacks.md#knockdown	derrubar
12/15-special-attacks.md#redirect	redirecionar
12/15-special-attacks.md#specific-target	alvo-específico
12/15-special-attacks.md#coated-weapons	armas-revestidas
12/15-special-attacks.md#demolitions	demolições
12/15-special-attacks.md#placing-explosives	instalando-explosivos
12/15-special-attacks.md#disarming-explosives	desarmando-explosivos
12/15-special-attacks.md#making-explosives	fabricando-explosivos
12/15-special-attacks.md#shock-attacks	ataques-de-choque
12/15-special-attacks.md#two-handed-weapons	armas-de-duas-mãos
12/15-special-attacks.md#wielding-two-or-more-weapons	empunhando-duas-ou-mais-armas
12/15-special-attacks.md#extra-melee-weapons	armas-de-luta-extras
12/15-special-attacks.md#extra-ranged-weapons	armas-de-distância-extras
12/16-physical-health.md#physical-health	saúde-física
12/16-physical-health.md#damage-points	pontos-de-dano
12/16-physical-health.md#damage-value	valor-de-dano
12/16-physical-health.md#durability	durabilidade
12/16-physical-health.md#wounds	ferimentos
12/16-physical-health.md#wound-effects	efeitos-de-ferimento
12/16-physical-health.md#bleeding-out	sangramento
12/16-physical-health.md#death-rating	grau-de-destruição
12/16-physical-health.md#death	morte
12/17-healing-and-repair.md#healing--repair	cura--reparo
12/17-healing-and-repair.md#biomorph-healing	cura-de-biomorfos
12/17-healing-and-repair.md#first-aid	primeiros-socorros
12/17-healing-and-repair.md#recovery	recuperação
12/17-healing-and-repair.md#critical-care	cuidados-críticos
12/17-healing-and-repair.md#synthmorphobject-repair	reparo-de-sintemorfosobjetos
12/17-healing-and-repair.md#healingrepair	curareparo
12/18-mental-health.md#mental-health	saúde-mental
12/18-mental-health.md#stress-points	pontos-de-estresse
12/18-mental-health.md#stress-categories	categorias-de-estresse
12/18-mental-health.md#lucidity-and-stress	lucidez-e-estresse
12/18-mental-health.md#stress-value	valor-de-estresse
12/18-mental-health.md#trauma	traumas
12/18-mental-health.md#trauma-effects	efeitos-de-trauma
12/18-mental-health.md#acute-stress-responses	respostas-de-estresse-agudo
12/18-mental-health.md#insanity-rating	grau-de-insanidade
12/19-mental-healing-and-psychosurgery.md#mental-healing--psychosurgery	cura-mental--psicocirurgia
12/19-mental-healing-and-psychosurgery.md#psychosurgery-care	cuidados-psicocirúrgicos
12/19-mental-healing-and-psychosurgery.md#natural-healing	cura-natural
12/19-mental-healing-and-psychosurgery.md#motivational-recovery	recuperação-motivacional
12/20-disorders.md#disorders	transtornos
12/20-disorders.md#alien-behavior-disorder	transtorno-de-comportamento-alienígena
12/20-disorders.md#anxiety	ansiedade
12/20-disorders.md#atavism	atavismo
12/20-disorders.md#attention-deficit-hyperactivity-disorder-adhd	transtorno-de-déficit-de-atenção-e-hiperatividade-tdah
12/20-disorders.md#autophagy	autofagia
12/20-disorders.md#bipolar-disorder	transtorno-bipolar
12/20-disorders.md#body-dysmorphia	dismorfia-corporal
12/20-disorders.md#conversion-disorder	transtorno-de-conversão
12/20-disorders.md#cosmic-anxiety-disorder	transtorno-de-ansiedade-cósmica
12/20-disorders.md#depression	depressão
12/20-disorders.md#disassociative-personality-disorder	transtorno-dissociativo-de-personalidade
12/20-disorders.md#fugue	fuga
12/20-disorders.md#impulse-control-disorder	transtorno-de-controle-de-impulsos
12/20-disorders.md#insomnia	insônia
12/20-disorders.md#narcissistic-personality-disorder	transtorno-de-personalidade-narcisista
12/20-disorders.md#paramnesia	paramnésia
12/20-disorders.md#paranoia	paranoia
12/20-disorders.md#phobia	fobia
12/20-disorders.md#post-traumatic-stress-disorder-ptsd	transtorno-de-estresse-pós-traumático-tept
12/20-disorders.md#reiterative-schizophrenia	esquizofrenia-reiterativa
12/21-other-action-factors.md#other-action-factors	outros-fatores-da-ação
12/21-other-action-factors.md#conditions	condições
12/21-other-action-factors.md#full-defense	defesa-total
12/21-other-action-factors.md#perception	percepção
12/21-other-action-factors.md#sizes	tamanhos
12/21-other-action-factors.md#very-small-size	tamanho-muito-pequeno
12/21-other-action-factors.md#small-size	tamanho-pequeno
12/21-other-action-factors.md#large-size	tamanho-grande
12/21-other-action-factors.md#very-large-size	tamanho-muito-grande
12/21-other-action-factors.md#surprise	surpresa
12/22-social-actions.md#social-actions	ações-sociais
12/22-social-actions.md#social-manipulation	manipulação-social
12/22-social-actions.md#gathering-information	coletando-informações
12/22-social-actions.md#social-stigma-and-status	estigma-e-status-social
12/22-social-actions.md#using-motivations	usando-motivações
12/22-social-actions.md#social-modifiers	modificadores-sociais
12/22-social-actions.md#social-attacks	ataques-sociais
12/23-stressful-situations.md#stressful-situations	situações-estressantes
12/23-stressful-situations.md#willpower-stress-tests	testes-de-estresse-de-vontade
12/23-stressful-situations.md#stressful-experiences	experiências-estressantes
12/23-stressful-situations.md#hardening	calejamento
12/24-movement.md#movement	movimento
12/24-movement.md#movement-rate	taxa-de-movimento
12/24-movement.md#movement-actions	ações-de-movimento
12/24-movement.md#base-move	movimento-base
12/24-movement.md#full-move	movimento-total
12/24-movement.md#rushing	disparada
12/24-movement.md#jumping	salto
12/24-movement.md#standing-up	levantar-se
12/24-movement.md#non-standard-movement	movimento-não-padrão
12/24-movement.md#difficult-movement	movimento-difícil
12/24-movement.md#movement-in-different-gravities	movimento-em-gravidades-diferentes
12/24-movement.md#movement-types	tipos-de-movimento
12/24-movement.md#boat	barca
12/24-movement.md#hopper	pulo
12/24-movement.md#hover	flutuação
12/24-movement.md#ionic	iônico
12/24-movement.md#microlight	microleve
12/24-movement.md#roller	rolagem
12/24-movement.md#rotor	rotor
12/24-movement.md#snake	serpente
12/24-movement.md#submarine	submerso
12/24-movement.md#swimmer	nado
12/24-movement.md#thrust-vector	empuxo-vetorial
12/24-movement.md#tracked	esteira
12/24-movement.md#walker	marcha
12/24-movement.md#wheeled	rodas
12/24-movement.md#winged	asas
12/25-vehicle-movement.md#vehicle-movement	movimento-de-veículos
12/25-vehicle-movement.md#control	controle
12/25-vehicle-movement.md#chases	perseguições
12/25-vehicle-movement.md#crashes	batidas
12/25-vehicle-movement.md#collisions	colisões
12/25-vehicle-movement.md#collisions-1	colisões-1
12/25-vehicle-movement.md#attacking-passengers	atacando-passageiros
12/26-objects-and-structures.md#objects--structures	objetos--estruturas
12/26-objects-and-structures.md#ranged-attacks	ataques-de-distância
12/26-objects-and-structures.md#shooting-through-an-object	atirando-através-de-um-objeto
12/26-objects-and-structures.md#making-objects	fazendo-objetos
12/26-objects-and-structures.md#repairing-objects	reparando-objetos
12/26-objects-and-structures.md#modifying-objects	modificando-objetos
12/26-objects-and-structures.md#sample-objects-and-structures	exemplos-de-objetos-e-estruturas
12/27-future-materials.md#future-materials	materiais-futuros
12/28-environmental-factors.md#environmental-factors	fatores-ambientais
12/28-environmental-factors.md#asphyxiation	asfixia
12/28-environmental-factors.md#decompression	descompressão
12/28-environmental-factors.md#falling	queda
12/28-environmental-factors.md#falling-damage	dano-de-queda
12/28-environmental-factors.md#fire	fogo
12/28-environmental-factors.md#gravity	gravidade
12/28-environmental-factors.md#microgravity	microgravidade
12/28-environmental-factors.md#low-gravity	baixa-gravidade
12/28-environmental-factors.md#high-gravity	alta-gravidade
12/28-environmental-factors.md#weather	clima
12/29-hostile-environments.md#hostile-environments	ambientes-hostis
12/29-hostile-environments.md#atmospheric-contamination	contaminação-atmosférica
12/29-hostile-environments.md#dangerous-atmosphere	atmosfera-perigosa
12/29-hostile-environments.md#extreme-heat-and-cold	calor-e-frio-extremos
12/29-hostile-environments.md#extreme-pressure	pressão-extrema
12/29-hostile-environments.md#gravity-transition-zones	zonas-de-transição-de-gravidade
12/29-hostile-environments.md#radiation	radiação
12/29-hostile-environments.md#surface-hazards	perigos-de-superfície
12/29-hostile-environments.md#underwater	debaixo-dágua
12/29-hostile-environments.md#vacuum	vácuo
12/30-downtime-actions.md#downtime-actions	ações-de-recesso
12/30-downtime-actions.md#acquiremake-things	adquirirfazer-coisas
12/30-downtime-actions.md#change-your-motivation	mudar-sua-motivação
12/30-downtime-actions.md#fulfill-responsibilities	cumprir-responsabilidades
12/30-downtime-actions.md#manage-your-rep	gerenciar-sua-rep
12/30-downtime-actions.md#mod-yourself	modificar-se
12/30-downtime-actions.md#train-and-improve	treinar-e-melhorar
12/30-downtime-actions.md#spending-rez-points	gastando-pontos-de-rez
12/30-downtime-actions.md#gain-a-positive-ego-trait	ganhar-um-traço-positivo-de-ego
12/30-downtime-actions.md#improve-and-learn-skills	melhorar-e-aprender-perícias
12/30-downtime-actions.md#improve-aptitudes	melhorar-aptidões
12/30-downtime-actions.md#increase-flex	aumentar-flex
12/30-downtime-actions.md#learn-a-language	aprender-um-idioma
12/30-downtime-actions.md#learn-a-new-psi-sleight	aprender-um-novo-truque-psi
12/30-downtime-actions.md#lose-a-negative-ego-trait	perder-um-traço-negativo-de-ego
12/30-downtime-actions.md#specialize	especializar-se
13/00-the-mesh.md#the-mesh	a-mesh
13/01-everyware.md#everyware	computação-ubíqua
13/01-everyware.md#getting-online	ficando-online
13/01-everyware.md#your-online-presence	sua-presença-online
13/01-everyware.md#privacy-mode	modo-privativo
13/02-mesh-topology.md#mesh-topology	topologia-da-mesh
13/02-mesh-topology.md#puppeted-devices	dispositivos-subordinados
13/02-mesh-topology.md#pans-personal-area-networks	pans-redes-de-área-pessoal
13/02-mesh-topology.md#vpns-virtual-private-networks	vpns-redes-privadas-virtuais
13/02-mesh-topology.md#tiered-systems	sistemas-em-camadas
13/02-mesh-topology.md#air-gapped-systems	sistemas-desconectados
13/02-mesh-topology.md#islands-in-the-net	ilhas-na-rede
13/03-common-mesh-uses.md#common-mesh-uses	usos-comuns-da-mesh
13/03-common-mesh-uses.md#augmented-reality-ar	realidade-aumentada-ra
13/03-common-mesh-uses.md#ar-mist-and-filters	névoa-de-ra-e-filtros
13/03-common-mesh-uses.md#skinning	tematização
13/03-common-mesh-uses.md#backups-forking-egocasting	backup-foqueamento-egoprojeção
13/03-common-mesh-uses.md#banking	transações-bancárias
13/03-common-mesh-uses.md#communications	comunicações
13/03-common-mesh-uses.md#experience-playback-xp	experiência-pré-gravada-xp
13/03-common-mesh-uses.md#gaming	jogos
13/03-common-mesh-uses.md#location-servicesmapping	serviços-de-localizaçãomapeamento
13/03-common-mesh-uses.md#media-and-news	mídia-e-notícias
13/03-common-mesh-uses.md#mobile-offices	escritórios-móveis
13/03-common-mesh-uses.md#psychosurgery	psicocirurgia
13/03-common-mesh-uses.md#searches	pesquisa
13/03-common-mesh-uses.md#sensor-feeds-and-coveillance	fluxos-de-sensores-e-covigilância
13/03-common-mesh-uses.md#social-networks	redes-sociais
13/03-common-mesh-uses.md#tagging	tags
13/03-common-mesh-uses.md#virtual-reality-vr	realidade-virtual-rv
13/04-devices-apps-and-links.md#devices-apps--links	dispositivos-apps--ligações
13/04-devices-apps-and-links.md#hardware	aparelhos
13/04-devices-apps-and-links.md#motes	nódulos
13/04-devices-apps-and-links.md#hosts	terminais
13/04-devices-apps-and-links.md#servers	servidores
13/04-devices-apps-and-links.md#overloaded-devices	dispositivos-sobrecarregados
13/04-devices-apps-and-links.md#software	programas
13/04-devices-apps-and-links.md#apps	apps
13/04-devices-apps-and-links.md#infomorphs	infomorfos
13/04-devices-apps-and-links.md#operating-system	sistema-operacional
13/04-devices-apps-and-links.md#services	serviços
13/04-devices-apps-and-links.md#wireless-links	ligações-sem-fio
13/04-devices-apps-and-links.md#stealthed-signals	sinais-camuflados
13/04-devices-apps-and-links.md#sniffing	farejamento
13/04-devices-apps-and-links.md#laser-links	ligações-laser
13/04-devices-apps-and-links.md#other-links	outras-ligações
13/04-devices-apps-and-links.md#accessing-multiple-systems	acessando-vários-sistemas
13/05-authentication-and-encryption.md#authentication--encryption	autenticação--criptografia
13/05-authentication-and-encryption.md#mesh-id	mesh-id
13/05-authentication-and-encryption.md#accounts--access-privileges	contas--privilégios-de-acesso
13/05-authentication-and-encryption.md#public-accounts	contas-públicas
13/05-authentication-and-encryption.md#user-accounts	contas-de-usuário
13/05-authentication-and-encryption.md#security-accounts	contas-de-segurança
13/05-authentication-and-encryption.md#admin-accounts	contas-de-administrador
13/05-authentication-and-encryption.md#authentication-methods	métodos-de-autenticação
13/05-authentication-and-encryption.md#biometric-scan	leitura-biométrica
13/05-authentication-and-encryption.md#ego-scan	escaneamento-de-ego
13/05-authentication-and-encryption.md#direct-neural-interface	interface-neural-direta
13/05-authentication-and-encryption.md#mesh-id-1	mesh-id-1
13/05-authentication-and-encryption.md#other-account	outra-conta
13/05-authentication-and-encryption.md#passcode	senha
13/05-authentication-and-encryption.md#passkey	chave-de-acesso
13/05-authentication-and-encryption.md#quantum-key	chave-quântica
13/05-authentication-and-encryption.md#circumventing-authentication	burlando-a-autenticação
13/05-authentication-and-encryption.md#acquiring-credentials	aquisição-de-credenciais
13/05-authentication-and-encryption.md#forging-authentication	forjando-a-autenticação
13/05-authentication-and-encryption.md#spoofing	mascaramento
13/05-authentication-and-encryption.md#encryption	criptografia
13/05-authentication-and-encryption.md#public-key-crypto	criptografia-de-chave-pública
13/05-authentication-and-encryption.md#quantum-key-crypto	criptografia-de-chave-quântica
13/05-authentication-and-encryption.md#codebreaking	quebra-de-código
13/05-authentication-and-encryption.md#quantum-codebreaking	quebra-de-código-quântica
13/06-mesh-actions.md#mesh-actions	ações-da-mesh
13/06-mesh-actions.md#universal-actions	ações-universais
13/06-mesh-actions.md#security-actions	ações-de-segurança
13/06-mesh-actions.md#admin-actions	ações-de-administrador
13/06-mesh-actions.md#scripting	scripts
13/07-ais-and-muses.md#ais--muses	ias--musas
13/07-ais-and-muses.md#alis	ilas
13/07-ais-and-muses.md#personality	personalidade
13/07-ais-and-muses.md#commanding-alis	comandando-ilas
13/07-ais-and-muses.md#limitations	limitações
13/07-ais-and-muses.md#aptitudes-skills-and-pools	aptidões-perícias-e-paradas
13/07-ais-and-muses.md#traits	traços
13/07-ais-and-muses.md#lucidity-and-trauma	lucidez-e-trauma
13/07-ais-and-muses.md#sleeving	encape
13/07-ais-and-muses.md#muses	musas
13/07-ais-and-muses.md#personality-and-relationships	personalidade-e-relacionamentos
13/07-ais-and-muses.md#what-your-muse-can-do-for-you	o-que-sua-musa-pode-fazer-por-você
13/07-ais-and-muses.md#online-even-when-youre-down	online-mesmo-quando-você-não-estiver
13/07-ais-and-muses.md#muse-backups	backups-de-musa
13/07-ais-and-muses.md#other-infomorphs-as-muses	outros-infomorfos-como-musas
13/07-ais-and-muses.md#roleplaying-muses	interpretando-musas
13/07-ais-and-muses.md#agis	igas
13/07-ais-and-muses.md#asis	sias
13/07-ais-and-muses.md#non-standard-ais	ias-não-padrão
13/08-infomorphs.md#infomorphs	infomorfos
13/08-infomorphs.md#home-device	dispositivo-habitado
13/08-infomorphs.md#inadequate-devices	dispositivos-inadequados
13/08-infomorphs.md#distributed-infomorphs	infomorfos-distribuídos
13/08-infomorphs.md#digital-speeds	velocidades-digitais
13/08-infomorphs.md#moving-between-devices	movimentação-entre-dispositivos
13/08-infomorphs.md#copying	cópia
13/08-infomorphs.md#deletion	exclusão
13/08-infomorphs.md#evacuating-cyberbrains	evacuação-de-cibercérebros
13/08-infomorphs.md#sleeving-morphs	encape-de-morfos
13/08-infomorphs.md#backing-up	backup
13/08-infomorphs.md#infomorphs-and-muses	infomorfos-e-musas
13/08-infomorphs.md#infomorph-riders	caronas-infomorfos
13/08-infomorphs.md#infomorph-rumors	rumores-de-infomorfos
13/09-online-research.md#online-research	pesquisa-online
13/09-online-research.md#search-challenges	desafios-da-pesquisa
13/09-online-research.md#search-capabilities	capacidades-de-pesquisa
13/09-online-research.md#research-tests	testes-de-pesquisa
13/09-online-research.md#private-and-proprietary-data	dados-privados-e-proprietários
13/09-online-research.md#analyzing-the-results	analisando-os-resultados
13/09-online-research.md#online-research-1	pesquisa-online-1
13/09-online-research.md#real-time-alerts	alertas-em-tempo-real
13/09-online-research.md#searching-specific-systems	procurando-em-sistemas-específicos
13/09-online-research.md#searching-timeframes	prazos-de-pesquisa
13/09-online-research.md#gming-research-tests	mestrando-testes-de-pesquisa
13/09-online-research.md#chaining-results	encadeando-resultados
13/10-tracking.md#tracking	rastreamento
13/10-tracking.md#physical-tracking	rastreamento-físico
13/10-tracking.md#tracing-by-mesh-id	rastreando-por-mesh-id
13/10-tracking.md#tracking-by-biometrics	rastreando-por-biometria
13/10-tracking.md#biometric-searches	pesquisas-biométricas
13/10-tracking.md#mesh-activity-tracking	rastreamento-de-atividades-na-mesh
13/10-tracking.md#researching-public-mesh-presence	pesquisando-a-presença-pública-na-mesh
13/10-tracking.md#tracking-ongoing-mesh-activity	rastreando-atividade-em-andamento-na-mesh
13/10-tracking.md#active-monitoring	monitoramento-ativo
13/10-tracking.md#tracking-countermeasures	contramedidas-de-rastreamento
13/10-tracking.md#burner-mesh-ids	mesh-ids-descartáveis
13/10-tracking.md#anonymous-proxy-services	serviços-de-proxy-anônimo
13/10-tracking.md#spoofing-mesh-ids	mascarando-mesh-ids
13/11-hacking.md#hacking	hackeamento
13/11-hacking.md#hacking-tests	testes-de-hackeamento
13/11-hacking.md#intrusion	invasão
13/11-hacking.md#establishing-a-connection	estabelecendo-uma-conexão
13/11-hacking.md#brute-force-attacks	ataque-de-força-bruta
13/11-hacking.md#subtle-intrusion	invasão-sutil
13/11-hacking.md#joint-hacking	hackeamento-conjunto
13/11-hacking.md#hacking-again	hackeando-novamente
13/11-hacking.md#intruder-status	status-do-invasor
13/11-hacking.md#hidden	oculto
13/11-hacking.md#covert	infiltrado
13/11-hacking.md#spotted	descoberto
13/11-hacking.md#changing-status	alterando-o-status
13/11-hacking.md#upgrading-status	melhorando-o-status
13/11-hacking.md#exposure	exposição
13/11-hacking.md#zeroing-in	localizando
13/11-hacking.md#consolidated-hacking	hackeamento-consolidado
13/12-countermeasures.md#countermeasures	contramedidas
13/12-countermeasures.md#firewall	firewall
13/12-countermeasures.md#firewall-ratings	graduações-do-firewall
13/12-countermeasures.md#firewall-threat-models	modelos-de-ameaça-do-firewall
13/12-countermeasures.md#system-defender	defensor-do-sistema
13/12-countermeasures.md#active-defense	defesa-ativa
13/12-countermeasures.md#security-alerts	alertas-de-segurança
13/12-countermeasures.md#passive-alert	alerta-passivo
13/12-countermeasures.md#active-alert	alerta-ativo
13/12-countermeasures.md#passive-countermeasures	contramedidas-passivas
13/12-countermeasures.md#backup	backupear
13/12-countermeasures.md#egress-filtering	filtrar-saída
13/12-countermeasures.md#locate-intruder	localizar-invasor
13/12-countermeasures.md#re-authenticate	reautenticar
13/12-countermeasures.md#reduce-privileges	reduzir-privilégios
13/12-countermeasures.md#active-countermeasures	contramedidas-ativas
13/12-countermeasures.md#counter-intrusion	contrainvadir
13/12-countermeasures.md#crash-and-lockout	travar-e-barrar
13/12-countermeasures.md#rebootshutdown	reinicializardesligar
13/12-countermeasures.md#terminate-connections	encerrar-conexões
13/12-countermeasures.md#trace	rastrear
13/12-countermeasures.md#security-audits	auditorias-de-segurança
13/12-countermeasures.md#security-design	projeto-de-segurança
13/13-system-subversion.md#system-subversion	subversão-de-sistema
13/13-system-subversion.md#break-encryption	quebrar-criptografia
13/13-system-subversion.md#control-ware	controlar-implante
13/13-system-subversion.md#disable-safety-mechanisms	desativar-mecanismos-de-segurança
13/13-system-subversion.md#edit-ar-feed	editar-fluxo-de-ra
13/13-system-subversion.md#eliminate-traces	eliminar-rastros
13/13-system-subversion.md#force-re-authentication	forçar-reautenticação
13/13-system-subversion.md#hide-file-or-process	esconder-arquivo-ou-processo
13/13-system-subversion.md#impair-senses	debilitar-os-sentidos
13/13-system-subversion.md#inject-arillusion	injetar-railusão
13/13-system-subversion.md#install-backdoor	instalar-brecha
13/13-system-subversion.md#install-blocker	instalar-restrição
13/13-system-subversion.md#jam-signals	bloquear-sinais
13/13-system-subversion.md#loop-sensor-feed	repetir-fluxo-de-sensor
13/13-system-subversion.md#modify-tacnet	modificar-tacnet
13/13-system-subversion.md#sniff-traffic	farejar-tráfego
13/13-system-subversion.md#suppress-alarm	suprimir-alarme
13/13-system-subversion.md#suppress-process	suprimir-processo
13/13-system-subversion.md#tap-ar	grampear-ra
13/13-system-subversion.md#tap-senses	grampear-sentidos
13/13-system-subversion.md#simple-hacking	hackeamento-simples
13/14-mesh-combat.md#mesh-combat	combate-na-mesh
13/14-mesh-combat.md#local-vs-remote	local-vs-remoto
13/14-mesh-combat.md#local-attacks	ataques-locais
13/14-mesh-combat.md#remote-attacks	ataques-remotos
13/14-mesh-combat.md#mesh-attacks-and-defense	ataque-e-defesa-na-mesh
13/14-mesh-combat.md#mesh-damage-and-armor	dano-e-blindagem-na-mesh
13/14-mesh-combat.md#mesh-wounds	ferimentos-na-mesh
13/14-mesh-combat.md#mesh-durability	durabilidade-na-mesh
13/14-mesh-combat.md#mesh-durability-1	durabilidade-na-mesh-1
13/14-mesh-combat.md#mesh-damage-repair	reparo-de-dano-da-mesh
13/15-hardware-damage.md#hardware-damage	dano-em-aparelhos
13/15-hardware-damage.md#damage-and-infomorph-riders	danos-e-caronas-infomorfos
13/16-glitches.md#glitches	defeitos
13/16-glitches.md#glitch-table	tabela-de-defeitos
13/17-mindware-hacking.md#mindware-hacking	hackeamento-de-implante-mental
13/17-mindware-hacking.md#preconditions	precondições
13/17-mindware-hacking.md#encoded-security	segurança-codificada
13/17-mindware-hacking.md#mindware-subversion	subversão-de-implante-mental
13/17-mindware-hacking.md#trap-ego	prender-ego
13/17-mindware-hacking.md#control-ware-cyberbrain	controlar-implante-cibercérebro
13/17-mindware-hacking.md#copy-ego	copiar-ego
13/17-mindware-hacking.md#delete-ego	excluir-ego
13/17-mindware-hacking.md#freeze-morph-cyberbrain	congelar-morfo-cibercérebro
13/17-mindware-hacking.md#mindhack-ego	hackear-mente-do-ego
13/17-mindware-hacking.md#modify-meshware	modificar-meshimplante
13/17-mindware-hacking.md#modify-sensory-input-cyberbrain	modificar-entrada-sensorial-cibercérebro
13/17-mindware-hacking.md#puppeteer-cyberbrain	manipular-fantoche-cibercérebro
13/17-mindware-hacking.md#scorch-ego	afligir-ego
13/17-mindware-hacking.md#shutdown	desligar
13/17-mindware-hacking.md#tap-senses	grampear-sentidos
13/17-mindware-hacking.md#terminate-cortical-stack-feed	encerrar-fluxo-da-pilha-cortical
13/17-mindware-hacking.md#sideways-egonapping	sequestrando-egos-por-fora
13/18-virtual-reality.md#virtual-reality	realidade-virtual
13/18-virtual-reality.md#accessing-simulspaces	acessando-simulespaços
13/18-virtual-reality.md#domain-rules	regras-de-domínio
13/18-virtual-reality.md#simulmorphs	simulmorfos
13/18-virtual-reality.md#immersion	imersão
13/18-virtual-reality.md#simulspace-rules	regras-de-simulespaço
13/18-virtual-reality.md#cheat-codes	códigos-de-trapaça
13/18-virtual-reality.md#hacking-simulspaces	hackeando-simulespaços
13/18-virtual-reality.md#simulspace-user-actions	ações-de-usuário-de-simulespaço
13/18-virtual-reality.md#admincheat-actions	ações-de-administradortrapaça
13/19-surveillance-hacking.md#surveillance-hacking	hackeamento-de-vigilância
13/19-surveillance-hacking.md#detecting-sensors	detectando-sensores
13/19-surveillance-hacking.md#avoiding-recognition	evitando-o-reconhecimento
13/19-surveillance-hacking.md#active-jamming	bloqueando-sinais-ativamente
13/19-surveillance-hacking.md#hacking-sensors	hackeando-sensores
13/19-surveillance-hacking.md#ripping-sensors	devassando-sensores
13/19-surveillance-hacking.md#dead-zones	zonas-mortas
